Release_Date,Production_Budget,Worldwide_Gross
1987-12-23,13000000,123922370
1988-01-04,25000000,16118077
1988-01-10,5000000,17768757
1988-01-12,4000000,3468572
1988-01-15,6200000,9205924
1988-02-26,1500000,11806119
1988-03-06,18000000,151668774
1988-03-30,15000000,73326666
1988-04-03,4000000,354704
1988-04-11,4000000,13000000
1988-04-22,4700000,1705139
1988-05-13,2800000,19170001
1988-05-25,58000000,188715611
1988-05-25,14000000,239606210
1988-06-22,70000000,351500000
1988-07-15,28000000,139109346
1988-07-20,30000000,81613606
1988-08-07,3000000,7282851
1988-08-19,13000000,49369899
1988-09-11,9000000,44196684
1988-09-12,16000000,13854000
1988-09-12,15000000,216600000
1988-10-06,9500000,14114000
1988-10-21,6000000,12793213
1988-11-18,12300000,81972846
1988-11-23,32000000,59450353
1988-12-02,7000000,20257000
1988-12-02,6000000,14545844
1988-12-08,13000000,44726644
1988-12-08,7000000,8373585
1988-12-16,25000000,412800000
1988-12-21,14000000,34700000
1989-01-03,15000000,10763469
1989-02-06,16400000,239500000
1989-02-17,10000000,40485039
1989-03-22,18000000,7190505
1989-04-08,1200000,36741667
1989-04-21,11500000,57469179
1989-05-19,10000000,30050028
1989-05-24,48000000,474171806
1989-06-23,35000000,411348924
1989-06-30,6000000,26004026
1989-07-04,11000000,49793054
1989-07-14,42000000,156167015
1989-07-14,16000000,92961960
1989-07-21,5000000,6157157
1989-07-28,5000000,14343976
1989-08-09,1500000,14533681
1989-08-11,9000000,10176701
1989-09-06,30000000,70200000
1989-09-08,70000000,54243125
1989-09-15,19000000,58571513
1989-09-22,30000000,45892212
1989-10-13,6000000,11642254
1989-11-08,6000000,22168359
1989-11-17,30000000,95857262
1989-11-22,40000000,332000000
1989-12-13,18000000,26593580
1989-12-13,7500000,106593296
1989-12-15,20000000,10555348
1989-12-20,14000000,70001698
1989-12-20,140000,6706368
1989-12-22,55000000,63408614
1989-12-31,1600000,419428
1990-01-06,65000000,261400000
1990-01-19,10000000,16667084
1990-02-03,30000000,200500000
1990-02-23,7700000,882290
1990-03-07,70000000,239814025
1990-03-08,10000000,16153000
1990-03-08,430000,2938000
1990-03-23,14000000,432645872
1990-03-30,13500000,202000000
1990-04-27,3000000,15000000
1990-05-24,40000000,244088654
1990-06-15,50000000,41476097
1990-06-15,47000000,162738726
1990-06-27,60000000,157670733
1990-07-12,20000000,53976987
1990-07-13,22000000,517600000
1990-07-18,31000000,53208180
1990-09-11,19000000,424200000
1990-09-11,13000000,34166572
1990-09-19,25000000,46777347
1990-09-28,7000000,4372561
1990-10-08,26000000,61308153
1990-10-19,20000000,21413105
1990-10-19,4200000,5835247
1990-11-07,49000000,20423389
1990-11-16,15000000,476684675
1990-11-21,35000000,54768418
1990-12-21,26000000,202000000
1990-12-25,54000000,66520529
1991-01-01,11000000,2000000
1991-01-01,8000000,2275557
1991-01-01,500000,55000
1991-01-01,450000,2712293
1991-01-03,40000000,34416893
1991-01-03,8500000,15024232
1991-01-07,35000,321952
1991-01-08,23000,1227508
1991-01-18,35000000,14471440
1991-01-18,14000000,34729091
1991-02-07,100000000,513815401
1991-02-14,20000000,275726716
1991-03-22,25000000,78656813
1991-05-17,25000000,9286314
1991-05-24,65000000,17218916
1991-06-12,27000000,96900000
1991-06-14,50000000,390500000
1991-06-28,23000000,86930411
1991-07-19,20000000,37537675
1991-08-03,7000000,5017971
1991-08-23,23000000,7018525
1991-08-30,6000000,773490
1991-09-08,16000000,29090445
1991-09-13,5000000,34872033
1991-09-20,24000000,41798224
1991-09-29,2500000,6401336
1991-10-01,7000000,8824553
1991-10-23,5000000,19438638
1991-10-25,9000000,349618
1991-11-12,70000000,300854823
1991-11-13,20000000,451329842
1991-11-15,35000000,182291969
1991-11-22,30000000,191502246
1991-11-27,16500000,58011485
1991-12-07,24000000,83531958
1991-12-07,6500000,56200634
1991-12-20,40000000,205400000
1991-12-25,30000000,74787599
1991-12-27,11000000,81204830
1992-01-05,7000000,5430822
1992-01-07,42000000,131052444
1992-01-07,40000000,132440066
1992-02-10,42000000,66787173
1992-02-10,10000000,50752337
1992-02-14,20000000,183097323
1992-02-21,35000000,4651977
1992-02-28,40000000,14358033
1992-03-13,11000000,52929168
1992-03-13,8000000,26199377
1992-04-24,5000000,1526697
1992-05-06,45000000,178100000
1992-05-15,35000000,319700000
1992-05-22,55000000,158500000
1992-06-03,10000000,32100816
1992-06-18,80000000,266824291
1992-07-02,40000000,44948240
1992-07-08,14400000,159157447
1992-07-08,11000000,21171695
1992-07-31,55000000,149022650
1992-07-31,7000000,14231669
1992-09-21,5000000,1050861
1992-09-25,40000000,75505856
1992-09-30,12500000,10725228
1992-10-04,8000000,28876702
1992-10-23,1200000,2832029
1992-11-11,28000000,504050219
1992-11-12,33000000,236500000
1992-11-12,12000000,27281507
1992-11-13,40000000,215862692
1992-11-18,35000000,48169910
1992-11-20,20000000,358994850
1992-11-25,25000000,410900000
1992-11-25,4000000,62546695
1992-12-25,35000000,28391473
1993-01-01,2000000,21000
1993-01-01,1800000,673
1993-01-10,14000000,155056263
1993-01-10,800000,1001437
1993-01-15,32000000,36299670
1993-01-15,15000000,52189039
1993-02-04,6500000,24103594
1993-02-19,11000000,21502976
1993-02-26,7000,2041928
1993-03-09,12000000,46730578
1993-03-19,21000000,42273609
1993-04-16,35000000,4496583
1993-04-23,15000000,9579068
1993-05-02,13000000,27979399
1993-05-11,22000000,10696210
1993-05-11,15000000,63954968
1993-05-14,13000000,1152117
1993-05-26,3500000,27731527
1993-05-28,65000000,255000000
1993-05-28,42000000,20844907
1993-06-08,44000000,353715317
1993-06-18,85000000,137298489
1993-06-30,42000000,270340892
1993-07-05,8000000,22549338
1993-07-16,28000000,39360491
1993-07-16,20000000,153698625
1993-07-23,14000000,27450453
1993-08-10,25000000,10731997
1993-08-13,3000000,15935068
1993-08-27,6000000,3273588
1993-09-06,15000000,39100956
1993-09-17,34000000,32014993
1993-09-24,6900000,7950889
1993-09-24,3000000,3902679
1993-10-09,12500000,12309980
1993-11-06,63000000,1038812584
1993-11-24,25000000,441286003
1993-11-24,19000000,2119994
1993-12-02,14600000,70906973
1993-12-02,3000000,242623
1993-12-11,7000000,40157856
1993-12-15,25000000,321365567
1993-12-17,45000000,187995859
1993-12-22,26000000,201324422
1993-12-25,25000000,56505065
1993-12-25,11000000,9170214
1993-12-29,22000000,25842377
1994-01-07,50000000,16581575
1994-01-07,40000000,31835600
1994-02-18,50000000,38590458
1994-02-25,10000000,18423914
1994-03-06,40000000,24172899
1994-03-08,62000000,207500000
1994-03-18,30000000,51041856
1994-04-02,12000000,107217396
1994-04-02,10000000,3275585
1994-04-11,45000000,112006296
1994-04-13,13000000,7881335
1994-04-22,8000000,8864699
1994-04-29,9000000,4333569
1994-05-13,14000000,13024170
1994-05-25,50000000,119180938
1994-05-27,45000000,358500000
1994-06-05,20000000,11744960
1994-06-07,55000000,679850637
1994-06-15,79300000,987480140
1994-06-17,70000000,131011757
1994-06-24,63000000,25052000
1994-07-10,45000000,57362581
1994-07-15,100000000,365300000
1994-07-20,45000000,117615211
1994-07-29,18000000,351620129
1994-08-26,10000000,126247
1994-08-31,1500000,418953
1994-09-03,4500000,242895809
1994-09-12,55000000,212200000
1994-09-16,28000000,102053581
1994-09-23,25000000,28307092
1994-09-23,1500000,5046118
1994-09-30,45000000,94215000
1994-09-30,18000000,5828466
1994-10-06,30000000,283200000
